SELECT,SEND_HELLO,RECEIVE_HELLO,RANGE,CERT,AUTH,FINISH,PARALLEL_RANGING,TOTAL
37.39,54.80,0.35,4.96,56.30,48.95,0.16,22.91,202.91,
31.50,57.82,0.41,5.06,56.36,42.83,0.20,27.49,194.18,
29.72,59.81,0.28,4.81,52.46,44.25,0.22,41.53,191.55,
35.98,57.79,0.24,5.71,51.58,48.58,0.17,26.07,200.06,
29.98,65.94,0.31,5.04,65.00,48.12,0.20,25.21,214.58,
33.21,62.99,0.30,4.24,53.59,43.01,0.21,37.66,197.54,
33.14,57.06,0.10,2.70,56.62,52.43,0.22,25.92,202.27,
37.85,58.58,0.27,4.86,55.09,45.53,0.15,26.98,202.33,
33.72,55.68,0.27,5.26,54.81,52.05,0.19,39.13,201.98,
35.67,56.55,0.42,4.70,57.93,52.12,0.21,25.74,207.59,
33.95,44.71,0.29,4.56,55.27,46.25,0.16,23.34,185.20,
34.83,53.62,0.28,5.53,57.04,50.41,0.18,34.33,201.88,
25.59,61.97,0.31,3.85,61.88,52.72,0.27,26.96,206.60,
37.41,60.50,0.28,4.83,54.79,50.76,0.27,25.50,208.84,
34.66,58.80,0.47,4.74,59.07,49.39,0.21,39.59,207.34,
32.65,60.50,0.30,5.02,52.70,48.22,0.36,27.31,199.75,
41.69,57.62,0.27,3.62,54.88,49.74,0.09,27.92,207.91,
27.99,60.76,0.37,5.19,51.01,44.97,0.15,38.01,190.44,
37.54,57.11,0.28,4.63,57.04,48.02,0.15,27.22,204.77,
27.33,59.57,0.22,3.73,60.51,51.74,0.22,28.46,203.32,
31.03,58.55,0.29,5.26,51.62,46.52,0.20,36.66,193.47,
31.89,58.43,0.30,4.81,51.54,50.36,0.21,23.39,197.52,
30.76,60.90,0.29,4.69,57.29,50.08,0.17,25.89,204.19,
32.41,58.71,0.28,4.79,54.45,38.60,0.23,38.26,189.48,
39.26,55.18,0.26,5.27,57.50,45.58,0.19,24.06,203.24,
31.13,58.00,0.29,4.75,54.82,50.56,0.15,28.06,199.71,
31.01,69.62,0.36,4.22,61.21,47.86,0.20,39.33,214.47,
31.50,57.47,0.34,4.66,55.10,52.02,0.34,26.47,201.41,
36.22,57.30,0.25,5.14,56.97,44.22,0.15,28.57,200.25,
33.34,57.31,0.26,4.75,52.69,45.12,0.26,36.43,193.73,
35.44,56.97,0.25,4.99,55.23,55.03,0.16,25.71,208.07,
18.76,47.88,0.26,4.48,57.08,46.20,0.20,27.03,174.86,
34.15,57.51,0.28,6.54,51.53,42.92,0.24,37.02,193.16,
33.09,58.84,0.26,5.35,54.45,48.82,0.17,26.54,200.98,
28.24,57.92,0.29,4.15,56.28,44.56,0.19,29.73,191.62,
31.63,58.18,0.29,4.66,53.80,41.98,0.17,36.18,190.70,
35.66,58.75,0.31,4.59,54.88,49.96,0.17,28.61,204.33,
25.97,60.19,0.15,14.92,39.24,38.24,0.05,19.10,178.76,
35.18,57.08,0.07,2.64,54.49,46.72,0.11,36.25,196.28,
33.01,56.82,0.15,3.04,55.76,50.71,0.10,26.68,199.58,
30.84,57.14,0.17,2.50,56.66,48.68,0.11,26.83,196.10,
32.53,59.34,0.30,4.40,48.58,44.07,0.12,37.65,189.35,
32.93,66.13,0.30,4.34,54.48,46.39,0.22,26.29,204.79,
27.73,61.15,0.29,4.96,64.41,50.74,0.44,28.01,209.72,
35.93,58.47,0.27,5.07,54.23,42.79,0.15,36.70,196.92,
35.52,56.82,0.21,3.03,55.60,45.24,0.17,25.75,196.59,
34.69,55.00,0.31,4.71,57.10,50.82,0.16,27.09,202.80,
38.50,57.53,0.29,5.01,54.73,50.59,0.15,37.33,206.79,
38.49,55.21,0.22,3.35,57.73,51.35,0.15,26.93,206.50,
24.59,48.56,0.28,4.32,56.32,43.43,0.14,27.67,177.64,
