SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
33.63,26.18,58.58,42.57,16.27,44.30,48.65,90.91,0.27,0.26,39.33,1.89,0.25,0.62,0.94,37.86,27.01
31.61,23.78,61.39,43.98,18.58,42.18,47.79,84.03,0.28,0.39,39.01,2.15,0.24,0.48,0.61,35.22,39.76
26.72,25.56,62.71,41.53,17.08,40.90,48.12,87.60,0.22,0.24,38.16,1.84,0.25,0.44,0.60,36.70,26.03
27.87,34.82,68.11,42.27,18.10,43.49,48.63,88.22,0.26,0.26,43.16,1.84,0.27,0.52,0.58,36.54,24.51
30.74,28.80,71.41,41.52,18.77,43.97,51.00,85.68,0.27,0.27,45.50,1.81,0.37,0.44,0.61,36.64,36.00
25.43,25.73,72.98,41.37,19.01,42.72,50.86,89.29,0.14,0.15,41.61,3.35,0.61,1.29,1.00,38.37,26.28
28.44,26.76,67.46,47.65,20.35,42.63,47.39,90.51,0.24,0.21,40.81,3.10,0.30,0.36,0.59,37.53,27.61
26.47,30.39,62.84,44.21,20.94,44.54,50.22,93.13,0.21,0.30,42.06,1.77,0.39,0.46,1.12,38.00,39.40
27.49,26.90,66.86,45.44,18.68,43.06,48.62,89.47,0.21,0.20,41.07,1.91,0.29,0.48,0.46,36.04,28.41
28.43,26.77,65.85,45.84,23.03,43.84,47.13,84.74,0.24,0.22,40.43,1.81,0.34,0.39,0.56,35.57,30.39
29.92,26.08,65.06,37.68,14.33,43.89,48.41,82.94,0.22,0.23,40.25,0.88,0.18,0.34,0.51,35.47,38.36
25.87,26.52,66.45,41.80,17.68,46.83,48.03,83.53,0.16,0.26,39.56,2.09,0.25,0.44,0.43,35.31,30.35
27.02,27.88,61.51,42.90,15.57,40.55,48.13,87.21,0.19,0.23,38.95,2.63,0.24,0.39,0.61,34.73,26.96
26.96,26.27,61.51,43.81,16.97,42.69,48.13,82.86,0.24,0.23,39.50,2.96,0.22,0.43,0.50,35.49,39.38
26.77,27.13,61.34,44.54,17.47,43.31,49.72,86.50,0.24,0.21,39.23,1.90,0.22,0.41,0.55,37.45,30.17
29.69,27.12,66.53,44.61,21.31,41.32,50.04,88.04,0.20,0.22,38.78,2.92,0.35,0.32,0.45,36.77,25.75
26.59,25.45,55.77,42.91,21.89,42.31,47.52,85.40,0.20,0.14,37.71,1.79,0.36,0.44,0.44,39.29,38.44
27.79,26.69,59.08,45.46,15.93,41.13,46.34,83.29,0.26,0.23,40.11,2.92,0.22,0.41,0.47,35.30,25.46
29.54,25.19,60.59,41.26,17.60,40.07,48.46,86.50,0.24,0.22,38.31,1.81,0.22,0.44,1.08,37.98,27.99
25.80,28.04,59.75,41.64,15.66,42.35,50.06,81.70,0.22,0.22,37.64,1.90,0.25,0.44,0.46,35.67,38.42
26.33,26.18,60.57,47.63,18.50,42.14,50.19,86.80,0.17,0.18,39.94,2.87,0.25,0.49,2.68,37.28,25.76
28.57,27.01,62.71,41.33,18.04,43.92,47.23,81.16,0.25,0.20,38.61,1.78,0.30,0.45,0.26,33.64,28.00
27.45,29.47,64.83,49.49,24.44,45.02,50.49,88.70,0.20,0.18,43.90,5.05,0.55,0.52,0.57,38.52,39.16
27.87,26.85,61.71,44.85,19.29,42.85,48.59,87.85,0.19,0.20,40.51,2.24,0.29,0.45,0.49,37.24,28.04
30.73,26.97,66.28,42.80,16.54,42.61,48.34,86.84,0.25,0.25,39.03,2.10,0.23,0.43,0.80,36.61,27.62
27.72,28.91,59.17,41.11,17.01,41.76,46.08,87.55,0.21,0.22,38.32,1.87,0.22,0.40,0.38,40.22,36.24
27.20,24.21,59.84,42.57,17.82,41.33,47.10,85.73,0.26,0.58,40.17,2.90,0.49,0.74,0.93,37.21,25.73
27.38,27.69,59.99,43.50,15.11,37.52,47.58,86.79,0.23,0.21,40.26,1.26,0.18,0.25,0.68,36.82,25.62
30.31,26.53,61.30,43.43,19.88,42.76,49.36,88.91,0.23,0.23,39.12,2.07,0.30,0.75,0.61,41.01,39.00
26.18,28.35,66.26,43.13,18.99,42.43,49.47,89.01,0.21,0.26,41.33,1.77,0.24,0.37,0.54,37.03,26.47
28.36,26.23,60.52,43.64,18.30,44.03,52.44,89.57,0.27,0.21,38.97,1.98,0.27,0.42,0.39,39.73,26.89
26.25,31.29,65.44,40.66,18.37,45.63,51.48,83.60,0.17,0.23,41.29,2.02,0.23,0.47,1.06,36.27,37.82
28.43,28.80,74.38,43.80,19.64,46.68,53.26,81.55,0.21,0.29,43.51,1.88,0.25,0.52,0.49,31.24,25.42
24.83,25.11,63.27,41.96,19.89,46.75,50.72,85.72,0.13,0.18,41.99,1.37,0.55,0.85,0.87,37.27,26.17
31.39,25.63,60.35,45.25,18.10,54.33,49.63,86.37,0.21,0.18,40.00,1.68,0.25,0.40,0.88,37.34,38.10
27.24,26.53,57.38,45.51,17.48,41.32,50.29,84.42,0.23,0.25,39.76,2.16,0.29,0.47,0.60,35.82,24.60
30.16,26.89,57.21,40.72,16.88,40.39,48.59,84.39,0.28,0.23,39.12,1.61,0.25,0.44,0.92,36.72,25.68
25.86,35.20,61.26,44.63,18.73,43.08,49.66,87.58,0.21,0.27,38.51,2.05,0.26,0.60,0.64,38.31,38.20
30.65,26.53,59.23,42.44,15.98,38.07,44.95,94.74,0.22,0.22,38.78,1.75,0.23,0.17,0.35,41.53,24.35
31.40,27.34,61.34,43.30,19.11,41.87,50.83,88.17,0.25,0.24,38.68,2.06,0.30,0.39,0.62,36.15,29.51
26.54,27.55,61.35,42.77,18.52,42.57,50.20,92.79,0.20,0.21,39.01,1.81,0.24,0.43,0.49,39.43,38.46
33.68,28.27,62.85,45.29,18.03,43.77,52.69,87.39,0.27,0.19,41.47,1.96,0.27,0.84,0.90,37.48,27.17
26.15,28.49,60.63,44.04,19.10,42.24,48.49,85.86,0.24,0.17,39.03,2.62,0.28,0.32,0.48,36.08,26.55
29.16,29.23,67.10,44.64,18.60,45.73,49.23,88.08,0.23,0.23,41.97,1.96,0.25,0.36,0.61,34.66,39.29
28.66,26.98,62.20,41.87,17.87,43.56,49.42,86.99,0.20,0.13,40.68,3.34,0.98,0.70,0.84,37.85,25.59
27.08,26.84,60.40,38.85,15.85,40.84,48.86,83.93,0.20,0.20,39.52,2.87,0.49,0.71,1.04,37.10,26.79
25.74,27.26,66.20,41.83,16.54,40.90,48.93,84.44,0.21,0.27,39.86,1.41,0.21,0.43,0.93,37.44,40.36
26.06,24.52,72.58,42.09,15.91,39.91,48.92,83.00,0.19,0.23,53.84,1.67,0.22,0.45,0.99,36.22,27.02
26.97,29.36,59.35,39.60,16.05,40.05,49.52,85.81,0.20,0.26,38.21,1.43,0.22,0.45,0.60,36.34,26.64
35.65,28.68,65.72,42.78,19.28,42.61,48.49,85.11,0.26,0.29,42.42,1.92,0.28,0.40,0.24,35.41,37.63
24.49,29.65,63.87,43.17,16.46,40.32,46.55,91.65,0.19,0.18,39.71,1.99,0.24,0.39,0.42,41.82,28.65
26.04,24.07,59.67,42.33,16.33,44.65,49.82,87.89,0.18,0.22,40.40,2.01,0.22,0.44,0.49,41.80,25.65
27.21,26.16,62.11,41.95,17.07,41.51,49.26,84.51,0.23,0.19,40.30,2.07,0.25,0.41,0.44,36.18,38.83
27.09,28.23,60.42,41.44,15.97,42.52,50.12,78.48,0.23,0.24,37.77,1.76,0.23,0.35,0.48,33.01,27.38
26.04,26.81,60.23,39.75,16.76,40.79,49.75,93.94,0.21,0.18,39.66,1.54,0.20,0.41,0.63,39.73,24.39
31.26,26.24,64.19,44.38,21.19,40.67,49.50,85.59,0.23,0.24,40.88,0.92,1.95,0.26,0.90,37.54,41.22
27.35,27.94,64.48,42.62,16.61,41.29,48.01,89.23,0.19,0.22,38.81,1.82,0.21,0.44,0.47,36.75,25.33
26.30,29.22,59.18,40.83,15.88,41.39,47.44,84.56,0.23,0.22,38.68,1.77,0.28,0.33,0.55,35.30,27.30
25.52,27.78,59.46,43.01,16.88,41.58,47.59,86.74,0.21,0.29,40.19,1.72,0.22,0.46,0.88,37.81,38.66
26.78,27.60,55.88,41.29,21.60,41.66,49.99,84.53,0.29,0.23,37.72,1.91,0.41,0.44,0.60,34.83,24.43
26.02,25.61,70.75,44.03,19.31,43.47,50.01,91.21,0.20,0.23,44.19,1.85,0.28,0.43,0.60,41.50,29.64
26.72,25.41,64.11,44.50,19.27,46.02,46.55,85.25,0.15,0.14,44.36,4.07,0.55,0.66,0.80,35.38,37.55
30.18,27.50,61.34,40.96,16.51,41.94,54.02,92.21,0.26,0.28,39.28,1.93,0.27,0.44,1.05,37.70,24.64
29.22,25.60,59.28,40.68,16.32,40.80,49.93,85.76,0.26,0.19,37.93,1.78,0.25,0.42,0.45,35.40,26.58
25.79,27.32,57.59,43.01,18.25,41.71,51.36,81.08,0.21,0.18,38.86,1.43,0.23,0.42,0.43,35.46,35.77
26.42,25.05,60.51,46.59,16.81,40.66,47.33,84.46,0.17,0.24,38.67,1.90,0.24,0.41,0.57,36.68,24.43
26.51,25.51,61.54,42.19,22.38,45.70,49.44,81.52,0.21,0.23,39.38,1.74,0.44,0.47,2.28,35.02,27.59
26.60,25.88,66.86,49.71,18.07,41.70,48.92,91.21,0.15,0.18,43.08,1.87,0.24,0.40,0.96,41.24,37.57
30.39,28.62,60.47,42.50,17.55,42.06,47.01,84.74,0.28,0.18,39.01,1.92,0.25,0.39,0.43,35.10,26.55
28.83,28.50,62.77,44.92,14.67,41.67,48.85,83.53,0.22,0.33,38.32,5.77,0.18,0.57,0.52,35.17,25.98
24.96,27.61,64.11,42.07,16.00,40.89,47.76,83.19,0.17,0.22,42.08,1.73,0.21,0.36,0.56,35.51,36.08
29.89,28.18,58.15,43.59,19.33,39.37,50.64,85.05,0.25,0.22,39.36,1.96,0.32,0.42,0.84,37.06,26.15
29.80,29.73,60.60,39.13,19.63,39.10,46.85,87.88,0.24,0.23,39.93,1.21,0.30,0.18,0.75,37.50,26.25
27.69,25.96,64.12,43.22,16.78,40.88,48.20,84.91,0.24,0.27,39.52,1.80,0.18,0.45,0.62,35.12,38.36
27.37,27.26,64.14,41.42,17.25,41.86,46.56,90.77,0.23,0.25,41.14,1.82,0.27,0.48,0.57,40.08,25.22
26.31,27.15,56.63,41.97,17.64,46.44,50.76,83.72,0.20,0.22,38.13,1.59,0.31,0.50,3.02,36.42,26.58
27.22,26.07,62.30,42.66,16.98,41.50,48.49,85.26,0.24,0.20,39.10,1.97,0.27,0.41,0.65,36.69,39.20
28.70,25.70,59.77,41.08,18.87,40.57,57.45,85.00,2.47,0.16,38.14,3.35,0.49,0.64,0.42,35.61,25.64
28.66,24.10,55.31,42.55,17.81,48.37,47.44,85.43,0.14,0.18,37.72,2.11,0.28,0.45,0.86,36.19,26.07
26.18,28.36,70.45,46.97,19.89,43.55,50.04,89.89,0.23,0.18,40.51,1.81,0.23,0.44,0.47,36.22,37.58
27.68,26.26,57.07,44.94,17.25,40.62,49.30,85.58,0.18,0.22,37.65,2.68,0.23,0.41,0.49,36.43,24.05
25.75,26.01,59.07,41.48,20.47,46.54,45.83,84.94,0.32,0.23,37.42,1.66,0.37,0.46,0.35,34.42,25.76
28.87,27.67,61.63,52.91,17.29,41.02,47.06,82.31,0.24,0.25,41.28,1.85,0.26,1.91,0.87,35.79,45.76
26.70,31.46,59.84,42.08,17.09,40.70,47.58,81.82,0.20,0.28,39.39,1.97,0.26,0.43,0.34,34.62,25.21
32.91,27.61,65.34,44.17,19.24,42.36,48.81,83.96,0.18,0.26,40.61,2.68,0.26,0.41,0.44,35.27,27.53
27.40,28.43,75.45,41.19,18.04,55.37,49.60,91.58,0.24,0.21,41.93,1.96,0.27,0.44,0.58,38.14,44.29
26.69,26.38,62.01,43.93,24.85,42.76,49.86,84.80,0.25,0.19,39.70,1.85,0.36,0.39,0.61,34.98,25.97
30.71,27.99,62.07,41.65,16.89,44.58,51.68,87.04,0.27,0.17,40.31,1.71,0.27,0.40,0.49,39.48,27.92
27.41,26.89,65.66,43.67,20.11,43.82,49.63,91.61,0.24,0.31,40.75,1.41,0.49,0.36,0.57,37.43,38.99
30.89,28.24,57.15,41.26,17.69,42.54,50.10,89.45,0.35,0.17,38.64,1.46,0.26,0.42,0.86,41.39,25.81
27.12,32.23,64.53,44.08,18.13,44.76,54.20,83.46,0.22,0.22,41.52,1.98,0.29,0.45,0.94,36.52,27.38
31.53,25.78,60.44,44.07,15.43,41.38,48.79,85.19,0.37,0.19,38.61,2.07,0.54,1.02,0.87,38.22,39.82
29.96,26.11,60.07,41.08,16.23,41.71,48.18,85.03,0.25,0.20,39.20,1.69,0.21,0.45,0.44,36.46,25.92
26.49,27.71,59.45,44.55,20.76,42.71,48.46,86.92,0.22,0.23,38.59,2.67,0.38,0.42,0.60,37.93,25.50
28.66,25.79,62.59,41.47,19.63,40.70,49.86,84.01,0.20,0.32,39.04,3.35,0.52,1.52,0.55,33.91,40.02
26.09,27.54,58.86,48.12,18.99,42.71,53.14,87.13,0.19,0.16,39.11,2.83,0.24,0.42,0.50,36.56,26.49
27.75,28.02,65.62,53.71,17.79,44.66,59.42,83.80,0.22,0.21,39.76,2.02,0.30,0.39,0.62,34.70,34.18
25.94,24.75,60.52,41.87,15.26,42.88,48.56,83.33,0.22,0.22,38.45,1.40,0.28,0.43,0.86,35.07,38.52
27.01,24.71,73.37,39.20,17.39,43.04,48.60,87.20,0.21,0.20,52.03,1.63,0.28,0.42,0.46,40.08,25.63
27.55,26.47,61.58,45.81,22.20,41.57,47.41,82.85,0.17,0.23,39.28,1.87,2.65,0.42,0.64,35.42,27.73
28.15,29.34,55.95,40.02,17.63,39.41,49.26,88.65,0.24,0.18,37.86,1.04,0.15,0.28,0.92,36.86,36.54
29.94,29.14,62.35,44.82,18.64,41.42,52.54,86.46,0.17,0.25,41.36,1.92,0.30,0.40,1.07,36.96,28.72
30.70,30.28,66.55,45.16,18.51,42.69,48.85,91.60,0.38,0.24,41.28,4.47,0.54,0.62,0.89,37.34,29.10
