SEL1,SEL2,GPO,RR1,RR2,RR3,RR4,GEN_AC,SEL1_MOD,SEL2_MOD,GPO_MOD,RR1_MOD,RR2_MOD,RR3_MOD,RR4_MOD,GEN_AC_MOD,RANGING
30.18,27.19,61.31,39.63,18.48,44.27,51.82,86.25,0.26,0.22,40.00,1.66,0.30,0.39,0.89,38.65,25.41
29.02,27.16,63.33,45.66,20.42,46.25,53.02,88.21,0.32,0.21,40.97,2.87,0.38,0.55,0.75,37.61,40.35
28.23,28.31,69.23,44.76,20.54,45.19,50.90,89.67,0.30,0.32,41.98,2.70,0.51,0.60,0.57,38.97,28.24
29.11,34.91,62.68,47.67,21.73,44.32,50.78,90.16,0.26,0.31,40.16,2.91,0.48,0.57,0.79,39.97,29.42
28.62,27.69,65.12,109.32,20.07,45.42,48.61,89.95,0.34,0.33,40.58,2.67,0.40,0.64,1.21,40.77,39.17
28.85,28.44,65.24,43.77,18.70,37.39,46.14,90.28,0.23,0.19,40.99,2.11,0.34,0.29,0.31,38.52,28.43
27.63,29.00,66.90,45.04,18.35,43.09,50.81,86.14,0.31,0.25,41.22,4.23,0.33,0.55,0.83,36.57,26.98
27.71,29.52,67.39,43.69,19.02,56.37,49.74,90.99,0.39,0.24,43.25,2.36,0.31,0.55,0.80,40.93,37.15
30.02,28.03,65.39,44.92,18.31,40.97,49.78,93.07,0.24,0.23,41.20,2.64,0.35,0.42,0.81,42.48,25.66
28.03,27.60,65.66,46.84,19.09,44.40,50.87,88.21,0.43,0.41,42.48,4.80,1.05,0.81,1.13,39.81,27.37
27.59,32.54,67.59,45.68,19.02,43.01,49.89,86.27,0.23,0.34,41.70,2.66,0.35,0.57,0.78,36.32,37.81
26.32,26.35,62.47,47.50,19.82,43.99,53.47,92.81,0.20,0.33,41.72,3.98,0.78,0.85,1.41,38.21,27.08
29.82,31.02,68.49,41.25,20.37,42.91,50.83,86.24,0.33,0.43,41.23,2.60,0.39,0.52,0.91,38.00,25.65
30.26,26.43,63.85,44.15,19.10,42.25,49.07,86.38,0.35,0.30,39.65,2.14,0.50,0.55,0.97,37.78,39.29
27.62,24.78,58.86,45.90,17.10,42.34,51.31,85.14,0.41,0.20,39.68,3.80,0.86,0.85,1.15,38.10,26.19
27.22,28.06,60.99,42.95,16.90,48.04,49.08,84.73,0.30,0.28,39.26,2.46,0.35,0.51,0.60,37.02,25.55
27.28,27.53,58.31,44.01,15.70,45.67,49.50,92.65,0.28,0.22,39.63,4.15,0.47,0.79,1.13,38.78,36.18
